date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:35	331900/331900	---M-Z	200	added ('OK')	text/html	etag:%225107c-660eda7f-d3591e2bfe8891bb;gz%22	https://www.packdemusicas.com.br/setscompletos.html	C:/Meus%20Sites/shows2/Sets/www.packdemusicas.com.br/setscompletos.html	(from )
14:11:35	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62b1dbfc-e51bf0e9698fbf24;gz%22	https://www.packdemusicas.com.br/robots.txt		(from )
14:11:35	6174/6174	---M-Z	200	added ('OK')	text/css	etag:%22181e-63c9c287-e33aa92c003ebc36;gz%22	https://www.packdemusicas.com.br/normalize.css	C:/Meus%20Sites/shows2/Sets/www.packdemusicas.com.br/normalize.css	(from https://www.packdemusicas.com.br/setscompletos.html)
14:11:36	1032/1032	---M-Z	200	added ('OK')	text/css	etag:%22408-63c9c288-b49a7a5b723de72a;gz%22	https://www.packdemusicas.com.br/reset.css	C:/Meus%20Sites/shows2/Sets/www.packdemusicas.com.br/reset.css	(from https://www.packdemusicas.com.br/setscompletos.html)
14:11:36	566/566	---M--	200	added ('OK')	image/png	etag:%22236-6596f094-c9a583ff0b650627;;;%22	https://www.packdemusicas.com.br/imgsets/favicon.png	C:/Meus%20Sites/shows2/Sets/www.packdemusicas.com.br/imgsets/favicon.png	(from https://www.packdemusicas.com.br/setscompletos.html)
14:11:36	625729/625729	---M--	200	added ('OK')	image/png	etag:%2298c41-6596f099-100d7de3306da67c;;;%22	https://www.packdemusicas.com.br/imgsets/bgtopo.png	C:/Meus%20Sites/shows2/Sets/www.packdemusicas.com.br/imgsets/bgtopo.png	(from https://www.packdemusicas.com.br/setscompletos.html)
14:11:37	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jun%202024%2017:11:37%20GMT	https://media2.giphy.com/media/v1.Y2lkPTc5MGI3NjExeXA2aDFjd3kwbDFtYTFtbDFza3lpanQ1anJqaHIyNnQ3aXFhaXUyNiZlcD12MV9pbnRlcm5hbF9naWZfYnlfaWQmY3Q9Zw/Y2s2JpvarsZ1gBxoqk/giphy.gif	C:/Meus%20Sites/shows2/Sets/media2.giphy.com/media/v1.Y2lkPTc5MGI3NjExeXA2aDFjd3kwbDFtYTFtbDFza3lpanQ1anJqaHIyNnQ3aXFhaXUyNiZlcD12MV9pbnRlcm5hbF9naWZfYnlfaWQmY3Q9Zw/Y2s2JpvarsZ1gBxoqk/giphy.5.delayed	(from https://www.packdemusicas.com.br/setscompletos.html)
14:11:37	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jun%202024%2017:11:37%20GMT	https://media2.giphy.com/media/DrGTpea3X6EOOKVxPl/giphy.gif?cid=ecf05e472p39juu5h7rd550jrpqmbzpl0u4m02ng8cwvekgk&ep=v1_gifs_related&rid=giphy.gif&ct=g	C:/Meus%20Sites/shows2/Sets/media2.giphy.com/media/DrGTpea3X6EOOKVxPl/giphy.63f9e.delayed	(from https://www.packdemusicas.com.br/setscompletos.html)
14:11:38	5466/5466	---M--	200	added ('OK')	image/png	etag:%22155a-6596f095-4c01f4f6a3dce267;;;%22	https://www.packdemusicas.com.br/imgsets/imglogin.png	C:/Meus%20Sites/shows2/Sets/www.packdemusicas.com.br/imgsets/imglogin.png	(from https://www.packdemusicas.com.br/setscompletos.html)
14:11:38	7526/7526	---M--	200	added ('OK')	image/png	etag:%221d66-6596f096-dcb5f1a3bb12fbc8;;;%22	https://www.packdemusicas.com.br/imgsets/Logotipo.png	C:/Meus%20Sites/shows2/Sets/www.packdemusicas.com.br/imgsets/Logotipo.png	(from https://www.packdemusicas.com.br/setscompletos.html)
14:11:38	4334/4334	---M--	200	added ('OK')	image/png	etag:%2210ee-6596f094-23b246e78d923642;;;%22	https://www.packdemusicas.com.br/imgsets/icondj.png	C:/Meus%20Sites/shows2/Sets/www.packdemusicas.com.br/imgsets/icondj.png	(from https://www.packdemusicas.com.br/setscompletos.html)
14:11:39	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jun%202024%2017:11:38%20GMT	https://media4.giphy.com/media/StYZDcmA7k13s980Af/giphy.gif?cid=ecf05e47h0i4h31lzul86qw4bxz970fug91ifuwmc4s4bc3s&ep=v1_gifs_related&rid=giphy.gif&ct=g	C:/Meus%20Sites/shows2/Sets/media4.giphy.com/media/StYZDcmA7k13s980Af/giphy.ae179.delayed	(from https://www.packdemusicas.com.br/setscompletos.html)
